path,truth,belief_top,belief_conf,last_turn,wall_ever,crustle_seen
episode-81681757-replay.json,abomasnow,abomasnow,0.9995401785261482,14,False,False
episode-81684640-replay.json,other/unknown,alakazam,0.36748053796152497,0,False,False
episode-81686714-replay.json,kyogre,abomasnow,0.9977464030591157,7,False,False
episode-81691366-replay.json,lucario,lucario,0.9999999998264528,12,False,False
episode-81694484-replay.json,other/unknown,alakazam,0.9994832304027043,9,False,False
episode-81699117-replay.json,lucario,alakazam,0.36748053796152497,0,False,False
episode-81704768-replay.json,abomasnow,alakazam,0.36748053796152497,0,False,False
episode-81704773-replay.json,starmie,alakazam,0.36748053796152497,0,False,False
episode-81706869-replay.json,starmie,starmie,0.9901664296458688,10,False,False
episode-81708526-replay.json,other/unknown,alakazam,0.9999999981147114,16,False,False
episode-81715276-replay.json,lucario,alakazam,0.36748053796152497,0,False,False
episode-81722376-replay.json,abomasnow,alakazam,0.36748053796152497,0,False,False
episode-81725109-replay.json,starmie,starmie,0.8763028526396013,12,False,False
episode-81728491-replay.json,dragapult,dragapult,0.9999999318195063,14,False,False
episode-81737444-replay.json,alakazam,alakazam,1.0,15,False,False
episode-81738851-replay.json,bellibolt,dragapult,0.9232391276707174,16,False,False
episode-81756036-replay.json,dragapult,alakazam,0.36748053796152497,0,False,False
episode-81772920-replay.json,other/unknown,alakazam,0.9965195931060449,23,True,False
episode-81774352-replay.json,dragapult,dragapult,0.9999999999234193,15,False,False
episode-81775498-replay.json,raging-bolt,dragapult,0.8250490328225701,15,False,False
episode-81776441-replay.json,lucario,lucario,0.9999999999692202,13,False,False
episode-81776474-replay.json,other/unknown,abomasnow,0.506854291050489,5,False,False
episode-81780193-replay.json,lucario,lucario,0.9999999999989708,13,False,False
episode-81793266-replay.json,lucario,lucario,0.9999654474802107,11,False,False
episode-81803195-replay.json,other/unknown,lucario,0.9950751954498678,5,False,False
episode-81804019-replay.json,alakazam,alakazam,1.0,13,False,False
